".threshold",".metric",".estimator",".estimate","species"
0.7,"j_index","binary",0.146839624387834,"California sea lion"
0.71,"j_index","binary",0.139913990173731,"California sea lion"
0.72,"j_index","binary",0.134533138921245,"California sea lion"
0.73,"j_index","binary",0.130111304741476,"California sea lion"
0.74,"j_index","binary",0.12433994289639,"California sea lion"
0.75,"j_index","binary",0.121853402270838,"California sea lion"
0.76,"j_index","binary",0.12128489579072,"California sea lion"
0.77,"j_index","binary",0.115220651001184,"California sea lion"
0.78,"j_index","binary",0.111189327414015,"California sea lion"
0.79,"j_index","binary",0.107726510306963,"California sea lion"
0.8,"j_index","binary",0.10050799314841,"California sea lion"
0.81,"j_index","binary",0.094443748358874,"California sea lion"
0.82,"j_index","binary",0.0870299759040207,"California sea lion"
0.83,"j_index","binary",0.0836647864451192,"California sea lion"
0.84,"j_index","binary",0.0827057693724018,"California sea lion"
0.85,"j_index","binary",0.0792429522653502,"California sea lion"
0.86,"j_index","binary",0.0760730181027482,"California sea lion"
0.87,"j_index","binary",0.0751140010300311,"California sea lion"
0.88,"j_index","binary",0.0712606733303796,"California sea lion"
0.89,"j_index","binary",0.0666435838543105,"California sea lion"
0.9,"j_index","binary",0.0576850284378403,"California sea lion"
0.1,"distance","binary",0.211545336946468,"California sea lion"
0.11,"distance","binary",0.198922394707715,"California sea lion"
0.12,"distance","binary",0.190090156973096,"California sea lion"
0.13,"distance","binary",0.181459881739503,"California sea lion"
0.14,"distance","binary",0.179965144728609,"California sea lion"
0.15,"distance","binary",0.182840328925588,"California sea lion"
0.16,"distance","binary",0.184052794800553,"California sea lion"
0.17,"distance","binary",0.183576153047769,"California sea lion"
0.18,"distance","binary",0.189929048597781,"California sea lion"
0.19,"distance","binary",0.194909846247212,"California sea lion"
0.2,"distance","binary",0.197543312346781,"California sea lion"
0.21,"distance","binary",0.202112108890045,"California sea lion"
0.22,"distance","binary",0.206572176047574,"California sea lion"
0.23,"distance","binary",0.21353085258283,"California sea lion"
0.24,"distance","binary",0.214772557133082,"California sea lion"
0.25,"distance","binary",0.22138627682363,"California sea lion"
0.26,"distance","binary",0.23190922061435,"California sea lion"
0.27,"distance","binary",0.237453687536475,"California sea lion"
0.28,"distance","binary",0.248791843364285,"California sea lion"
0.29,"distance","binary",0.254789397304138,"California sea lion"
0.3,"distance","binary",0.256597440238084,"California sea lion"
0.31,"distance","binary",0.264531871876086,"California sea lion"
0.32,"distance","binary",0.277396747708036,"California sea lion"
0.33,"distance","binary",0.292449240863026,"California sea lion"
0.34,"distance","binary",0.299216314224501,"California sea lion"
0.35,"distance","binary",0.308087886629271,"California sea lion"
0.36,"distance","binary",0.326309299239493,"California sea lion"
0.37,"distance","binary",0.334119694392878,"California sea lion"
0.38,"distance","binary",0.351728927582864,"California sea lion"
0.39,"distance","binary",0.373182088280824,"California sea lion"
0.4,"distance","binary",0.382207316935423,"California sea lion"
0.41,"distance","binary",0.396381297595106,"California sea lion"
0.42,"distance","binary",0.40240862409639,"California sea lion"
0.43,"distance","binary",0.40856197726391,"California sea lion"
0.44,"distance","binary",0.420210016370096,"California sea lion"
0.45,"distance","binary",0.426865615268205,"California sea lion"
0.46,"distance","binary",0.440712385912687,"California sea lion"
0.47,"distance","binary",0.451009775526622,"California sea lion"
0.48,"distance","binary",0.465128929366176,"California sea lion"
0.49,"distance","binary",0.488914233390609,"California sea lion"
0.5,"distance","binary",0.497995291229179,"California sea lion"
0.51,"distance","binary",0.505248079848962,"California sea lion"
0.52,"distance","binary",0.516503370564306,"California sea lion"
0.53,"distance","binary",0.527902675599039,"California sea lion"
0.54,"distance","binary",0.539312291873179,"California sea lion"
0.55,"distance","binary",0.545068684465968,"California sea lion"
0.56,"distance","binary",0.562955993734919,"California sea lion"
0.57,"distance","binary",0.568793552193333,"California sea lion"
0.58,"distance","binary",0.57481923150822,"California sea lion"
0.59,"distance","binary",0.580737117826986,"California sea lion"
0.6,"distance","binary",0.588868640375993,"California sea lion"
0.61,"distance","binary",0.597003533123009,"California sea lion"
0.62,"distance","binary",0.607376534281386,"California sea lion"
0.63,"distance","binary",0.613581926007394,"California sea lion"
0.64,"distance","binary",0.643417550826806,"California sea lion"
0.65,"distance","binary",0.649875120601336,"California sea lion"
0.66,"distance","binary",0.660708879811772,"California sea lion"
0.67,"distance","binary",0.665031753744736,"California sea lion"
0.68,"distance","binary",0.671572929606792,"California sea lion"
0.69,"distance","binary",0.682602841173283,"California sea lion"
0.7,"distance","binary",0.693740617416743,"California sea lion"
0.71,"distance","binary",0.707243866269481,"California sea lion"
0.72,"distance","binary",0.71858465550939,"California sea lion"
0.73,"distance","binary",0.727729507558944,"California sea lion"
0.74,"distance","binary",0.739252964359925,"California sea lion"
0.75,"distance","binary",0.746182497487207,"California sea lion"
0.76,"distance","binary",0.748493526821728,"California sea lion"
0.77,"distance","binary",0.760194895136097,"California sea lion"
0.78,"distance","binary",0.769602499194252,"California sea lion"
0.79,"distance","binary",0.776708400032911,"California sea lion"
0.8,"distance","binary",0.791026468247916,"California sea lion"
0.81,"distance","binary",0.803060460751259,"California sea lion"
0.82,"distance","binary",0.81762506872118,"California sea lion"
0.83,"distance","binary",0.824951241689715,"California sea lion"
0.84,"distance","binary",0.827398255466044,"California sea lion"
0.85,"distance","binary",0.834770987648793,"California sea lion"
0.86,"distance","binary",0.842173442378477,"California sea lion"
0.87,"distance","binary",0.844647402039646,"California sea lion"
0.88,"distance","binary",0.852103068731606,"California sea lion"
0.89,"distance","binary",0.862089716169344,"California sea lion"
0.9,"distance","binary",0.879716467314701,"California sea lion"
0.1,"kap","binary",0.115369734073674,"Harbor seal"
0.11,"kap","binary",0.118460551463077,"Harbor seal"
0.12,"kap","binary",0.117634959284319,"Harbor seal"
0.13,"kap","binary",0.117676709459917,"Harbor seal"
0.14,"kap","binary",0.12498677941005,"Harbor seal"
0.15,"kap","binary",0.12925234795538,"Harbor seal"
0.16,"kap","binary",0.13604281112265,"Harbor seal"
0.17,"kap","binary",0.140787463238905,"Harbor seal"
0.18,"kap","binary",0.146875079812701,"Harbor seal"
0.19,"kap","binary",0.148123491444344,"Harbor seal"
0.2,"kap","binary",0.15126653504505,"Harbor seal"
0.21,"kap","binary",0.157413600418811,"Harbor seal"
0.22,"kap","binary",0.157969936555564,"Harbor seal"
0.23,"kap","binary",0.155153505685458,"Harbor seal"
0.24,"kap","binary",0.156317386507912,"Harbor seal"
0.25,"kap","binary",0.158887332384946,"Harbor seal"
0.26,"kap","binary",0.160992338757525,"Harbor seal"
0.27,"kap","binary",0.164612181328041,"Harbor seal"
