"threshold","estimate_kappa","Species","Dataset"
0.71,0.675345465256263,"Common murre","Train data"
0.72,0.672449987774299,"Common murre","Train data"
0.73,0.665305222948652,"Common murre","Train data"
0.74,0.65259466340295,"Common murre","Train data"
0.75,0.6461098413344,"Common murre","Train data"
0.76,0.633922170520824,"Common murre","Train data"
0.77,0.613509091565979,"Common murre","Train data"
0.78,0.596993349163224,"Common murre","Train data"
0.79,0.579936770359389,"Common murre","Train data"
0.8,0.573658511336339,"Common murre","Train data"
0.81,0.566907469463279,"Common murre","Train data"
0.82,0.557454445781686,"Common murre","Train data"
0.83,0.544095084100064,"Common murre","Train data"
0.84,0.529763204342786,"Common murre","Train data"
0.85,0.512814494276796,"Common murre","Train data"
0.86,0.486922713061135,"Common murre","Train data"
0.87,0.46946303239782,"Common murre","Train data"
0.88,0.452321045094684,"Common murre","Train data"
0.89,0.424910487901161,"Common murre","Train data"
0.9,0.393529114474489,"Common murre","Train data"
0.1,0.0849999232444731,"Northern elephant seal","Train data"
0.11,0.0886048474617147,"Northern elephant seal","Train data"
0.12,0.0921029755658771,"Northern elephant seal","Train data"
0.13,0.0959961275548438,"Northern elephant seal","Train data"
0.14,0.0993002999064859,"Northern elephant seal","Train data"
0.15,0.101721972444433,"Northern elephant seal","Train data"
0.16,0.105324364074284,"Northern elephant seal","Train data"
0.17,0.10808642635576,"Northern elephant seal","Train data"
0.18,0.112332568108152,"Northern elephant seal","Train data"
0.19,0.119316431346323,"Northern elephant seal","Train data"
0.2,0.128155130723009,"Northern elephant seal","Train data"
0.21,0.135448155534482,"Northern elephant seal","Train data"
0.22,0.144061025617062,"Northern elephant seal","Train data"
0.23,0.14781020278246,"Northern elephant seal","Train data"
0.24,0.143954755405444,"Northern elephant seal","Train data"
0.25,0.150034201102483,"Northern elephant seal","Train data"
0.26,0.153113435993887,"Northern elephant seal","Train data"
0.27,0.164427855069185,"Northern elephant seal","Train data"
0.28,0.155464871172143,"Northern elephant seal","Train data"
0.29,0.160426099229749,"Northern elephant seal","Train data"
0.3,0.165151751155238,"Northern elephant seal","Train data"
0.31,0.164314854631925,"Northern elephant seal","Train data"
0.32,0.157359333710496,"Northern elephant seal","Train data"
0.33,0.161887893311106,"Northern elephant seal","Train data"
0.34,0.1614525420568,"Northern elephant seal","Train data"
0.35,0.155435753797348,"Northern elephant seal","Train data"
0.36,0.167216082952182,"Northern elephant seal","Train data"
0.37,0.173006026900865,"Northern elephant seal","Train data"
0.38,0.180796374351033,"Northern elephant seal","Train data"
0.39,0.190166948853501,"Northern elephant seal","Train data"
0.4,0.197579684116887,"Northern elephant seal","Train data"
0.41,0.20249726177437,"Northern elephant seal","Train data"
0.42,0.194029526153445,"Northern elephant seal","Train data"
0.43,0.209377039598656,"Northern elephant seal","Train data"
0.44,0.220520940267604,"Northern elephant seal","Train data"
0.45,0.203796380547973,"Northern elephant seal","Train data"
0.46,0.21151517135282,"Northern elephant seal","Train data"
0.47,0.221253885148795,"Northern elephant seal","Train data"
0.48,0.220154313771335,"Northern elephant seal","Train data"
0.49,0.215780347037299,"Northern elephant seal","Train data"
0.5,0.227209895842896,"Northern elephant seal","Train data"
0.51,0.201101796407186,"Northern elephant seal","Train data"
0.52,0.192245056861175,"Northern elephant seal","Train data"
0.53,0.181345398902935,"Northern elephant seal","Train data"
0.54,0.185892116182573,"Northern elephant seal","Train data"
0.55,0.193968474629476,"Northern elephant seal","Train data"
0.56,0.199141125732204,"Northern elephant seal","Train data"
0.57,0.18373955340265,"Northern elephant seal","Train data"
0.58,0.155000904033268,"Northern elephant seal","Train data"
0.59,0.138523526335161,"Northern elephant seal","Train data"
0.6,0.139859114784804,"Northern elephant seal","Train data"
0.61,0.144013443307804,"Northern elephant seal","Train data"
0.62,0.148403787465424,"Northern elephant seal","Train data"
0.63,0.149923192949043,"Northern elephant seal","Train data"
0.64,0.131965534846754,"Northern elephant seal","Train data"
0.65,0.120019889712661,"Northern elephant seal","Train data"
0.66,0.0834223171382809,"Northern elephant seal","Train data"
