".threshold","specificity","sensitivity","species"
0.196,0.752025773699112,0.634278002699055,"California sea lion"
0.198,0.754173581958411,0.630229419703104,"California sea lion"
0.2,0.757492921995509,0.62753036437247,"California sea lion"
0.202,0.759152592014058,0.622132253711201,"California sea lion"
0.204,0.762081421458557,0.622132253711201,"California sea lion"
0.206,0.764424485014156,0.620782726045884,"California sea lion"
0.208,0.766865176217905,0.619433198380567,"California sea lion"
0.21,0.770086888606853,0.616734143049933,"California sea lion"
0.212,0.771746558625403,0.612685560053981,"California sea lion"
0.214,0.774382505125451,0.607287449392713,"California sea lion"
0.216,0.776627941032901,0.605937921727395,"California sea lion"
0.218,0.77887337694035,0.603238866396761,"California sea lion"
0.22,0.780728302255199,0.601889338731444,"California sea lion"
0.222,0.783559504051547,0.597840755735493,"California sea lion"
0.224,0.785219174070097,0.595141700404858,"California sea lion"
0.226,0.787269354681246,0.592442645074224,"California sea lion"
0.228,0.790295811773894,0.591093117408907,"California sea lion"
0.23,0.792638875329493,0.587044534412955,"California sea lion"
0.232,0.794396172996192,0.587044534412955,"California sea lion"
0.234,0.796153470662892,0.584345479082321,"California sea lion"
0.236,0.797227374792541,0.582995951417004,"California sea lion"
0.238,0.79898467245924,0.581646423751687,"California sea lion"
0.24,0.802011129551889,0.58029689608637,"California sea lion"
0.242,0.803475544274138,0.58029689608637,"California sea lion"
0.244,0.805135214292688,0.578947368421053,"California sea lion"
0.246,0.807380650200137,0.577597840755736,"California sea lion"
0.248,0.808747437274236,0.576248313090418,"California sea lion"
0.25,0.810114224348335,0.569500674763833,"California sea lion"
0.252,0.811871522015035,0.562753036437247,"California sea lion"
0.254,0.814312213218784,0.560053981106613,"California sea lion"
0.256,0.816167138533633,0.556005398110661,"California sea lion"
0.258,0.817826808552182,0.554655870445344,"California sea lion"
0.26,0.820072244459631,0.553306342780027,"California sea lion"
0.262,0.82114614858928,0.55195681511471,"California sea lion"
0.264,0.82251293566338,0.550607287449393,"California sea lion"
0.266,0.824465488626379,0.546558704453441,"California sea lion"
0.268,0.826515669237528,0.543859649122807,"California sea lion"
0.27,0.828565849848677,0.543859649122807,"California sea lion"
0.272,0.829542126330177,0.54251012145749,"California sea lion"
0.274,0.831982817533926,0.538461538461538,"California sea lion"
0.276,0.833740115200625,0.537112010796221,"California sea lion"
0.278,0.835009274626574,0.531713900134953,"California sea lion"
0.28,0.835790295811774,0.529014844804318,"California sea lion"
0.282,0.837547593478473,0.529014844804318,"California sea lion"
0.284,0.838816752904422,0.529014844804318,"California sea lion"
0.286,0.839890657034072,0.527665317139001,"California sea lion"
0.288,0.841355071756321,0.526315789473684,"California sea lion"
0.29,0.842721858830421,0.52361673414305,"California sea lion"
0.292,0.84516255003417,0.519568151147099,"California sea lion"
0.294,0.845943571219369,0.516869095816464,"California sea lion"
0.296,0.847993751830518,0.515519568151147,"California sea lion"
0.298,0.849262911256468,0.515519568151147,"California sea lion"
0.3,0.851020208923167,0.515519568151147,"California sea lion"
0.302,0.852094113052817,0.515519568151147,"California sea lion"
0.304,0.853460900126916,0.510121457489879,"California sea lion"
0.306,0.854827687201015,0.510121457489879,"California sea lion"
0.308,0.855901591330665,0.506072874493927,"California sea lion"
0.31,0.856584984867715,0.506072874493927,"California sea lion"
0.312,0.857951771941814,0.506072874493927,"California sea lion"
0.314,0.859025676071463,0.502024291497976,"California sea lion"
0.316,0.859611441960363,0.496626180836707,"California sea lion"
0.318,0.861759250219662,0.492577597840756,"California sea lion"
0.32,0.863809430830811,0.491228070175439,"California sea lion"
0.322,0.864395196719711,0.488529014844804,"California sea lion"
0.324,0.865469100849361,0.483130904183536,"California sea lion"
0.326,0.86644537733086,0.481781376518219,"California sea lion"
0.328,0.867909792053109,0.479082321187584,"California sea lion"
0.33,0.870155227960558,0.475033738191633,"California sea lion"
0.332,0.871326759738358,0.473684210526316,"California sea lion"
0.334,0.872693546812457,0.470985155195682,"California sea lion"
0.336,0.873474567997657,0.469635627530364,"California sea lion"
0.338,0.874841355071756,0.46693657219973,"California sea lion"
0.34,0.877282046275505,0.46693657219973,"California sea lion"
0.342,0.878551205701455,0.462887989203779,"California sea lion"
0.344,0.879722737479254,0.460188933873144,"California sea lion"
0.346,0.880601386312604,0.458839406207827,"California sea lion"
0.348,0.881577662794103,0.45748987854251,"California sea lion"
0.35,0.882651566923753,0.45748987854251,"California sea lion"
0.352,0.883725471053402,0.452091767881242,"California sea lion"
0.354,0.884701747534902,0.450742240215924,"California sea lion"
0.356,0.885287513423802,0.446693657219973,"California sea lion"
0.358,0.886361417553451,0.442645074224022,"California sea lion"
0.36,0.887532949331251,0.439946018893387,"California sea lion"
0.362,0.8889973640535,0.43859649122807,"California sea lion"
0.364,0.890461778775749,0.435897435897436,"California sea lion"
0.366,0.892219076442448,0.435897435897436,"California sea lion"
0.368,0.892707214683198,0.433198380566802,"California sea lion"
0.37,0.893585863516548,0.431848852901485,"California sea lion"
0.372,0.894855022942497,0.430499325236167,"California sea lion"
0.374,0.895831299423997,0.426450742240216,"California sea lion"
0.376,0.896807575905496,0.422402159244264,"California sea lion"
0.378,0.897588597090696,0.421052631578947,"California sea lion"
0.38,0.898662501220346,0.415654520917679,"California sea lion"
0.382,0.899541150053695,0.412955465587045,"California sea lion"
0.384,0.900126915942595,0.408906882591093,"California sea lion"
0.386,0.900907937127795,0.404858299595142,"California sea lion"
0.388,0.902567607146344,0.40080971659919,"California sea lion"
0.39,0.903641511275993,0.396761133603239,"California sea lion"
0.392,0.904032021868593,0.396761133603239,"California sea lion"
0.394,0.904910670701943,0.392712550607287,"California sea lion"
0.396,0.905789319535292,0.39136302294197,"California sea lion"
0.398,0.907058478961242,0.388663967611336,"California sea lion"
0.4,0.907937127794591,0.388663967611336,"California sea lion"
0.402,0.908522893683491,0.388663967611336,"California sea lion"
0.404,0.909206287220541,0.387314439946019,"California sea lion"
0.406,0.90998730840574,0.383265856950067,"California sea lion"
0.408,0.91076832959094,0.377867746288799,"California sea lion"
0.41,0.91174460607244,0.377867746288799,"California sea lion"
0.412,0.912525627257639,0.376518218623482,"California sea lion"
0.414,0.913404276090989,0.376518218623482,"California sea lion"
0.416,0.913990041979889,0.373819163292847,"California sea lion"
0.418,0.915063946109538,0.373819163292847,"California sea lion"
0.42,0.915552084350288,0.37246963562753,"California sea lion"
0.422,0.916821243776237,0.371120107962213,"California sea lion"
0.424,0.917309382016987,0.371120107962213,"California sea lion"
0.426,0.918383286146637,0.371120107962213,"California sea lion"
0.428,0.918871424387387,0.368421052631579,"California sea lion"
0.43,0.919652445572586,0.367071524966262,"California sea lion"
0.432,0.920921604998536,0.365721997300945,"California sea lion"
0.434,0.921214487942985,0.36302294197031,"California sea lion"
0.436,0.922093136776335,0.361673414304993,"California sea lion"
0.438,0.922874157961535,0.358974358974359,"California sea lion"
0.44,0.923167040905985,0.357624831309042,"California sea lion"
0.442,0.923655179146734,0.356275303643725,"California sea lion"
0.444,0.924143317387484,0.356275303643725,"California sea lion"
0.446,0.924826710924534,0.354925775978408,"California sea lion"
0.448,0.925217221517134,0.354925775978408,"California sea lion"
0.45,0.925412476813434,0.352226720647773,"California sea lion"
0.452,0.925802987406033,0.350877192982456,"California sea lion"
0.454,0.926291125646783,0.349527665317139,"California sea lion"
0.456,0.926584008591233,0.348178137651822,"California sea lion"
0.458,0.927267402128283,0.345479082321188,"California sea lion"
0.46,0.927755540369033,0.340080971659919,"California sea lion"
0.462,0.928634189202382,0.340080971659919,"California sea lion"
0.464,0.929317582739432,0.340080971659919,"California sea lion"
0.466,0.929708093332032,0.336032388663968,"California sea lion"
0.468,0.930586742165381,0.33468286099865,"California sea lion"
0.47,0.930977252757981,0.331983805668016,"California sea lion"
0.472,0.931563018646881,0.329284750337382,"California sea lion"
0.474,0.932148784535781,0.327935222672065,"California sea lion"
0.476,0.93273455042468,0.326585695006748,"California sea lion"
0.478,0.93322268866543,0.323886639676113,"California sea lion"
0.48,0.93410133749878,0.321187584345479,"California sea lion"
0.482,0.934589475739529,0.318488529014845,"California sea lion"
0.484,0.934979986332129,0.315789473684211,"California sea lion"
0.486,0.935663379869179,0.311740890688259,"California sea lion"
0.488,0.936249145758079,0.306342780026991,"California sea lion"
0.49,0.936737283998828,0.303643724696356,"California sea lion"
0.492,0.937420677535878,0.299595141700405,"California sea lion"
0.494,0.937811188128478,0.299595141700405,"California sea lion"
0.496,0.938201698721078,0.298245614035088,"California sea lion"
0.498,0.938787464609978,0.298245614035088,"California sea lion"
0.5,0.939666113443327,0.296896086369771,"California sea lion"
0.502,0.940056624035927,0.296896086369771,"California sea lion"
0.504,0.940544762276677,0.295546558704453,"California sea lion"
0.506,0.941325783461876,0.294197031039136,"California sea lion"
0.508,0.942302059943376,0.294197031039136,"California sea lion"
0.51,0.942790198184126,0.291497975708502,"California sea lion"
0.512,0.943278336424876,0.290148448043185,"California sea lion"
0.514,0.944254612906375,0.290148448043185,"California sea lion"
0.516,0.944840378795275,0.290148448043185,"California sea lion"
0.518,0.945035634091575,0.287449392712551,"California sea lion"
0.52,0.945328517036025,0.283400809716599,"California sea lion"
0.522,0.946109538221224,0.280701754385965,"California sea lion"
